file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability
FN.KLF.00.BHZ | 2025-01-01T09:21:58.961627Z - 2025-01-01T09:22:58.961627Z,,,,,,,2025-01-01T09:22:07.766970Z,,2025-01-01T09:22:17.997750Z,
FN.RNF.00.BHZ | 2025-01-01T09:22:01.195696Z - 2025-01-01T09:23:01.195696Z,,,,,,,2025-01-01T09:22:23.810700Z,,2025-01-01T09:22:45.899900Z,
FN.SGF.00.BHZ | 2025-01-01T09:21:46.823419Z - 2025-01-01T09:22:46.823419Z,,,,,,,2025-01-01T09:22:17.997750Z,,2025-01-01T09:22:36.134150Z,
HE.HEF.00.BHZ | 2025-01-01T09:21:27.311953Z - 2025-01-01T09:22:27.311953Z,,,,,,,2025-01-01T09:22:02.651570Z,,2025-01-01T09:22:09.394590Z,
FN.KLF.00.BHZ | 2025-01-02T04:41:49.470845Z - 2025-01-02T04:42:49.470845Z,,,,,,,2025-01-02T04:42:13.358870Z,,2025-01-02T04:42:15.937140Z,
FN.RANF.00.?HZ | 2025-01-02T04:42:15.532418Z - 2025-01-02T04:43:15.532418Z,,,,,,,2025-01-02T04:42:35.880380Z,,2025-01-02T04:42:55.776230Z,
FN.RNF.00.BHZ | 2025-01-02T04:41:56.860658Z - 2025-01-02T04:42:56.860658Z,,,,,,,2025-01-02T04:42:25.751990Z,,2025-01-02T04:42:37.124360Z,
FN.SGF.00.BHZ | 2025-01-02T04:42:03.944917Z - 2025-01-02T04:43:03.944917Z,,,,,,,2025-01-02T04:42:27.981090Z,,2025-01-02T04:42:41.093150Z,
HE.HEF.00.BHZ | 2025-01-02T04:42:08.341664Z - 2025-01-02T04:43:08.341664Z,,,,,,,2025-01-02T04:42:33.786080Z,,2025-01-02T04:42:51.507080Z,
HE.TOF.00.BHZ | 2025-01-02T04:42:02.836838Z - 2025-01-02T04:43:02.836838Z,,,,,,,2025-01-02T04:42:27.459210Z,,2025-01-02T04:42:40.440810Z,
HE.ALAJF.00.?HZ | 2025-01-05T04:54:59.383677Z - 2025-01-05T04:55:59.383677Z,,,,,,,2025-01-05T04:55:13.299340Z,,2025-01-05T04:55:37.805340Z,
HE.OBF0.00.BHZ | 2025-01-05T04:54:53.497324Z - 2025-01-05T04:55:53.497324Z,,,,,,,2025-01-05T04:55:05.540430Z,,2025-01-05T04:55:24.605580Z,
HE.OBF3.00.BHZ | 2025-01-05T04:54:38.217751Z - 2025-01-05T04:55:38.217751Z,,,,,,,2025-01-05T04:55:09.202760Z,,2025-01-05T04:55:30.734050Z,
HE.OBF8.00.BHZ | 2025-01-05T04:54:42.295864Z - 2025-01-05T04:55:42.295864Z,,,,,,,2025-01-05T04:54:59.756830Z,,2025-01-05T04:55:14.177560Z,
HE.OUF.00.BHZ | 2025-01-05T04:54:43.083410Z - 2025-01-05T04:55:43.083410Z,,,,,,,2025-01-05T04:55:08.867640Z,,2025-01-05T04:55:31.175280Z,
HE.TOF.00.BHZ | 2025-01-05T04:54:51.160580Z - 2025-01-05T04:55:51.160580Z,,,,,,,,,2025-01-05T04:55:44.682040Z,
HE.VAF.00.BHZ | 2025-01-05T04:55:01.946950Z - 2025-01-05T04:56:01.946950Z,,,,,,,2025-01-05T04:55:08.662550Z,,2025-01-05T04:55:29.562850Z,
FN.KLF.00.BHZ | 2025-01-05T16:19:23.985481Z - 2025-01-05T16:20:23.985481Z,,,,,,,2025-01-05T16:19:50.469450Z,,2025-01-05T16:19:59.978880Z,
