file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability
FN.KLF.00.BHZ | 2025-01-05T16:47:43.315583Z - 2025-01-05T16:48:43.315583Z,,,,,,,2025-01-05T16:48:13.800000Z,,2025-01-05T16:48:25.560000Z,
FN.OLKF.00.BHZ | 2025-01-05T16:48:24.695345Z - 2025-01-05T16:49:24.695345Z,,,,,,,,,2025-01-05T16:49:06.920000Z,
FN.RAJF.00.BHZ | 2025-01-05T16:48:32.729218Z - 2025-01-05T16:49:32.729218Z,,,,,,,,,2025-01-05T16:48:37.820000Z,
FN.RANF.00.BHZ | 2025-01-05T16:48:22.841968Z - 2025-01-05T16:49:22.841968Z,,,,,,,2025-01-05T16:48:33.160000Z,,2025-01-05T16:48:59.260000Z,
FN.RNF.00.BHZ | 2025-01-05T16:48:03.504457Z - 2025-01-05T16:49:03.504457Z,,,,,,,2025-01-05T16:48:22.980000Z,,2025-01-05T16:48:42.440000Z,
HE.HEF.00.BHZ | 2025-01-05T16:48:04.884628Z - 2025-01-05T16:49:04.884628Z,,,,,,,2025-01-05T16:48:12.630000Z,,2025-01-05T16:48:23.000000Z,
HE.KEV.00.BHZ | 2025-01-05T16:48:06.689515Z - 2025-01-05T16:49:06.689515Z,,,,,,,2025-01-05T16:48:32.500000Z,,2025-01-05T16:48:56.920000Z,
HE.KIF.00.BHZ | 2025-01-05T16:48:08.814007Z - 2025-01-05T16:49:08.814007Z,,,,,,,,,2025-01-05T16:49:00.440000Z,
HE.TOF.00.BHZ | 2025-01-05T16:48:08.762719Z - 2025-01-05T16:49:08.762719Z,,,,,,,,,2025-01-05T16:48:57.280000Z,
HE.VRF.00.BHZ | 2025-01-05T16:48:20.951637Z - 2025-01-05T16:49:20.951637Z,,,,,,,2025-01-05T16:48:27.400000Z,,,
FN.MSF.00.BHZ | 2025-01-05T00:32:06.861721Z - 2025-01-05T00:33:06.861721Z,,,,,,,2025-01-05T00:32:24.120000Z,,2025-01-05T00:32:58.280000Z,
FN.OLKF.00.BHZ | 2025-01-05T00:32:01.980997Z - 2025-01-05T00:33:01.980997Z,,,,,,,2025-01-05T00:32:18.200000Z,,2025-01-05T00:32:47.180000Z,
FN.RAJF.00.BHZ | 2025-01-05T00:32:09.908358Z - 2025-01-05T00:33:09.908358Z,,,,,,,2025-01-05T00:32:17.300000Z,,2025-01-05T00:32:45.300000Z,
FN.RANF.00.BHZ | 2025-01-05T00:32:22.143157Z - 2025-01-05T00:33:22.143157Z,,,,,,,2025-01-05T00:32:34.480000Z,,2025-01-05T00:33:16.200000Z,
FN.RNF.00.BHZ | 2025-01-05T00:32:08.430131Z - 2025-01-05T00:33:08.430131Z,,,,,,,2025-01-05T00:32:30.600000Z,,,
HE.HEF.00.BHZ | 2025-01-05T00:32:46.234858Z - 2025-01-05T00:33:46.234858Z,,,,,,,,,2025-01-05T00:33:26.560000Z,
HE.KEV.00.BHZ | 2025-01-05T00:32:14.835691Z - 2025-01-05T00:33:14.835691Z,,,,,,,2025-01-05T00:32:31.200000Z,,2025-01-05T00:33:09.660000Z,
HE.KU6.00.BHZ | 2025-01-05T00:32:00.198802Z - 2025-01-05T00:33:00.198802Z,,,,,,,2025-01-05T00:32:18.320000Z,,2025-01-05T00:32:47.160000Z,
HE.VRF.00.BHZ | 2025-01-05T00:31:51.534669Z - 2025-01-05T00:32:51.534669Z,,,,,,,2025-01-05T00:32:07.680000Z,,2025-01-05T00:32:28.260000Z,
FN.KLF.00.BHZ | 2025-01-05T00:33:51.430896Z - 2025-01-05T00:34:51.430896Z,,,,,,,2025-01-05T00:33:56.480000Z,,2025-01-05T00:34:45.480000Z,
FN.MSF.00.BHZ | 2025-01-05T00:33:12.272967Z - 2025-01-05T00:34:12.272967Z,,,,,,,2025-01-05T00:33:33.000000Z,,2025-01-05T00:34:06.880000Z,
FN.OLKF.00.BHZ | 2025-01-05T00:33:19.648400Z - 2025-01-05T00:34:19.648400Z,,,,,,,2025-01-05T00:33:27.080000Z,,2025-01-05T00:33:55.360000Z,
FN.RAJF.00.BHZ | 2025-01-05T00:32:59.835716Z - 2025-01-05T00:33:59.835716Z,,,,,,,2025-01-05T00:33:27.160000Z,,2025-01-05T00:33:53.580000Z,
FN.RANF.00.BHZ | 2025-01-05T00:33:37.238847Z - 2025-01-05T00:34:37.238847Z,,,,,,,2025-01-05T00:33:43.360000Z,,2025-01-05T00:34:24.680000Z,
