file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability
FN.KLF.00.BHZ | 2025-01-01T09:22:02.766970Z - 2025-01-01T09:23:02.766970Z,,,,,,,2025-01-01T09:22:07.766970Z,,2025-01-01T09:22:17.997750Z,
FN.RNF.00.BHZ | 2025-01-01T09:22:18.810700Z - 2025-01-01T09:23:18.810700Z,,,,,,,2025-01-01T09:22:23.810700Z,,2025-01-01T09:22:45.899900Z,
FN.SGF.00.BHZ | 2025-01-01T09:22:12.997750Z - 2025-01-01T09:23:12.997750Z,,,,,,,2025-01-01T09:22:17.997750Z,,2025-01-01T09:22:36.134150Z,
HE.HEF.00.BHZ | 2025-01-01T09:21:57.651570Z - 2025-01-01T09:22:57.651570Z,,,,,,,2025-01-01T09:22:02.651570Z,,2025-01-01T09:22:09.394590Z,
FN.KLF.00.BHZ | 2025-01-02T04:42:08.358870Z - 2025-01-02T04:43:08.358870Z,,,,,,,2025-01-02T04:42:13.358870Z,,2025-01-02T04:42:15.937140Z,
FN.RANF.00.?HZ | 2025-01-02T04:42:30.880380Z - 2025-01-02T04:43:30.880380Z,,,,,,,2025-01-02T04:42:35.880380Z,,2025-01-02T04:42:55.776230Z,
FN.RNF.00.BHZ | 2025-01-02T04:42:20.751990Z - 2025-01-02T04:43:20.751990Z,,,,,,,2025-01-02T04:42:25.751990Z,,2025-01-02T04:42:37.124360Z,
FN.SGF.00.BHZ | 2025-01-02T04:42:22.981090Z - 2025-01-02T04:43:22.981090Z,,,,,,,2025-01-02T04:42:27.981090Z,,2025-01-02T04:42:41.093150Z,
HE.HEF.00.BHZ | 2025-01-02T04:42:28.786080Z - 2025-01-02T04:43:28.786080Z,,,,,,,2025-01-02T04:42:33.786080Z,,2025-01-02T04:42:51.507080Z,
HE.TOF.00.BHZ | 2025-01-02T04:42:22.459210Z - 2025-01-02T04:43:22.459210Z,,,,,,,2025-01-02T04:42:27.459210Z,,2025-01-02T04:42:40.440810Z,
HE.ALAJF.00.?HZ | 2025-01-05T04:55:08.299340Z - 2025-01-05T04:56:08.299340Z,,,,,,,2025-01-05T04:55:13.299340Z,,2025-01-05T04:55:37.805340Z,
HE.OBF0.00.BHZ | 2025-01-05T04:55:00.540430Z - 2025-01-05T04:56:00.540430Z,,,,,,,2025-01-05T04:55:05.540430Z,,2025-01-05T04:55:24.605580Z,
HE.OBF3.00.BHZ | 2025-01-05T04:55:04.202760Z - 2025-01-05T04:56:04.202760Z,,,,,,,2025-01-05T04:55:09.202760Z,,2025-01-05T04:55:30.734050Z,
HE.OBF8.00.BHZ | 2025-01-05T04:54:54.756830Z - 2025-01-05T04:55:54.756830Z,,,,,,,2025-01-05T04:54:59.756830Z,,2025-01-05T04:55:14.177560Z,
