file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability
HE.LAUT.00.00 | 2025-06-23T12:58:02.972437Z - 2025-06-23T12:59:02.972437Z,,,,,,,,,,
FN.RAJF.00.00 | 2025-07-17T01:06:01.860362Z - 2025-07-17T01:07:01.860362Z,,,,,,,,,,
HE.OBF0.00.00 | 2025-09-15T08:28:59.384291Z - 2025-09-15T08:29:59.384291Z,,,,,,,,,,
HE.FIA3.00.00 | 2025-10-31T00:31:41.861942Z - 2025-10-31T00:32:41.861942Z,,,,,,,,,,
HE.TRE03.00.00 | 2025-04-15T07:33:16.943170Z - 2025-04-15T07:34:16.943170Z,,,,,,,,,,
HE.FIB5.00.00 | 2025-06-28T02:14:08.749197Z - 2025-06-28T02:15:08.749197Z,,,,,,,,,,
HE.HEL1.00.00 | 2025-08-17T16:08:15.968795Z - 2025-08-17T16:09:15.968795Z,,,,,,,,,,
HE.OBF3.00.00 | 2025-06-26T07:38:50.541615Z - 2025-06-26T07:39:50.541615Z,,,,,,,,,,
HE.RSUO.00.00 | 2025-03-08T10:01:03.718967Z - 2025-03-08T10:02:03.718967Z,,,,,,,,,,
HE.NIF.00.00 | 2025-10-24T18:39:15.887126Z - 2025-10-24T18:40:15.887126Z,,,,,,,,,,
HE.FIA1.00.00 | 2025-12-07T23:11:12.702911Z - 2025-12-07T23:12:12.702911Z,,,,,,,,,,
HE.RSUO.00.00 | 2025-09-03T00:37:37.578426Z - 2025-09-03T00:38:37.578426Z,,,,,,,,,,
HE.OBF8.00.00 | 2025-05-22T01:11:59.975849Z - 2025-05-22T01:12:59.975849Z,,,,,,,,,,
FN.KMNF.00.00 | 2025-06-14T19:34:05.010511Z - 2025-06-14T19:35:05.010511Z,,,,,,,,,,
HE.OBF0.00.00 | 2025-05-02T00:15:31.080190Z - 2025-05-02T00:16:31.080190Z,,,,,,,,,,
HE.LAUT.00.00 | 2025-07-30T02:18:36.383798Z - 2025-07-30T02:19:36.383798Z,,,,,,,,,,
HE.TVF.00.00 | 2025-01-07T19:06:05.497775Z - 2025-01-07T19:07:05.497775Z,,,,,,,,,,
HE.HEF.00.00 | 2025-09-27T03:18:59.061869Z - 2025-09-27T03:19:59.061869Z,,,,,,,,,,
HE.KU2.00.00 | 2025-09-16T00:23:03.030323Z - 2025-09-16T00:24:03.030323Z,,,,,,,,,,
HE.KAF.00.00 | 2025-11-28T17:10:55.857752Z - 2025-11-28T17:11:55.857752Z,,,,,,,,,,
HE.KORF.00.00 | 2025-04-12T06:17:03.422669Z - 2025-04-12T06:18:03.422669Z,,,,,,,,,,
HE.RAF.00.00 | 2025-04-19T08:33:01.163578Z - 2025-04-19T08:34:01.163578Z,,,,,,,,,,
FN.KLF.00.00 | 2025-05-19T10:55:03.482582Z - 2025-05-19T10:56:03.482582Z,,,,,,,,,,
HE.FIC6.00.00 | 2025-10-15T14:27:10.816417Z - 2025-10-15T14:28:10.816417Z,,,,,,,,,,
FN.KLF.00.00 | 2025-05-21T01:32:51.066167Z - 2025-05-21T01:33:51.066167Z,,,,,,,,,,
HE.KY02.00.00 | 2025-12-24T01:04:54.459996Z - 2025-12-24T01:05:54.459996Z,,,,,,,,,,
FN.OLKF.00.00 | 2025-01-15T10:37:18.283952Z - 2025-01-15T10:38:18.283952Z,,,,,,,,,,
FN.RANF.00.00 | 2025-04-12T12:25:24.693234Z - 2025-04-12T12:26:24.693234Z,,,,,,,,,,
HE.KY17.00.00 | 2025-06-25T12:34:50.222252Z - 2025-06-25T12:35:50.222252Z,,,,,,,,,,
HE.LAUT.00.00 | 2025-01-17T02:33:47.691584Z - 2025-01-17T02:34:47.691584Z,,,,,,,,,,
HE.KU1.00.00 | 2025-11-13T03:55:03.703836Z - 2025-11-13T03:56:03.703836Z,,,,,,,,,,
HE.LAUT.00.00 | 2025-10-08T22:42:35.956654Z - 2025-10-08T22:43:35.956654Z,,,,,,,,,,
HE.PVF.00.00 | 2025-06-18T21:30:48.437537Z - 2025-06-18T21:31:48.437537Z,,,,,,,,,,
FN.RANF.00.00 | 2025-09-29T00:55:42.376533Z - 2025-09-29T00:56:42.376533Z,,,,,,,,,,
HE.FIC6.00.00 | 2025-04-21T16:03:12.859165Z - 2025-04-21T16:04:12.859165Z,,,,,,,,,,
FN.MSF.00.00 | 2025-06-21T13:25:03.819009Z - 2025-06-21T13:26:03.819009Z,,,,,,,,,,
FN.SGF.00.00 | 2025-08-14T13:48:03.702008Z - 2025-08-14T13:49:03.702008Z,,,,,,,,,,
HE.RAF.00.00 | 2025-04-27T03:39:38.796142Z - 2025-04-27T03:40:38.796142Z,,,,,,,,,,
HE.FIC3.00.00 | 2025-04-15T03:16:43.238572Z - 2025-04-15T03:17:43.238572Z,,,,,,,,,,
HE.RUF.00.00 | 2025-03-01T22:20:08.991979Z - 2025-03-01T22:21:08.991979Z,,,,,,,,,,
HE.FIC4.00.00 | 2025-03-12T10:39:07.252749Z - 2025-03-12T10:40:07.252749Z,,,,,,,,,,
HE.SUF.00.00 | 2025-02-25T05:52:52.143264Z - 2025-02-25T05:53:52.143264Z,,,,,,,,,,
HE.KU1.00.00 | 2025-07-09T00:31:23.132175Z - 2025-07-09T00:32:23.132175Z,,,,,,,,,,
HE.HEL5.00.00 | 2025-06-29T17:00:06.486135Z - 2025-06-29T17:01:06.486135Z,,,,,,,,,,
FN.KLF.00.00 | 2025-02-08T22:09:57.274583Z - 2025-02-08T22:10:57.274583Z,,,,,,,,,,
HE.NUR.00.00 | 2025-07-30T11:55:40.498822Z - 2025-07-30T11:56:40.498822Z,,,,,,,,,,
HE.HEL2.00.00 | 2025-02-08T10:51:31.055087Z - 2025-02-08T10:52:31.055087Z,,,,,,,,,,
HE.HEF.00.00 | 2025-11-20T22:23:09.349730Z - 2025-11-20T22:24:09.349730Z,,,,,,,,,,
HE.FIA2.00.00 | 2025-07-11T19:24:31.129628Z - 2025-07-11T19:25:31.129628Z,,,,,,,,,,
HE.RUF.00.00 | 2025-08-03T06:38:15.362132Z - 2025-08-03T06:39:15.362132Z,,,,,,,,,,
HE.KU2.00.00 | 2025-12-22T00:19:11.836051Z - 2025-12-22T00:20:11.836051Z,,,,,,,,,,
HE.OBF0.00.00 | 2025-09-07T16:09:38.079490Z - 2025-09-07T16:10:38.079490Z,,,,,,,,,,
HE.ECKF.00.00 | 2025-05-02T04:42:25.766096Z - 2025-05-02T04:43:25.766096Z,,,,,,,,,,
FN.RANF.00.00 | 2025-01-05T20:47:21.135111Z - 2025-01-05T20:48:21.135111Z,,,,,,,,,,
HE.FIB1.00.00 | 2025-02-11T09:30:11.987396Z - 2025-02-11T09:31:11.987396Z,,,,,,,,,,
HE.KPF.00.00 | 2025-07-21T10:54:07.655173Z - 2025-07-21T10:55:07.655173Z,,,,,,,,,,
UP.AAL.00.00 | 2025-04-01T04:30:21.141504Z - 2025-04-01T04:31:21.141504Z,,,,,,,,,,
FN.SGF.00.00 | 2025-05-21T15:30:10.277361Z - 2025-05-21T15:31:10.277361Z,,,,,,,,,,
