file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability
FN.RNF.00.00 | 2025-02-02T17:56:41.282979Z - 2025-02-02T17:57:41.282979Z,,,,,,,,,,
FN.RAJF.00.00 | 2025-02-20T17:32:15.494292Z - 2025-02-20T17:33:15.494292Z,,,,,,,,,,
HE.KY02.00.00 | 2025-02-10T19:02:35.067955Z - 2025-02-10T19:03:35.067955Z,,,,,,,,,,
HE.RUF.00.00 | 2025-01-21T10:30:32.674351Z - 2025-01-21T10:31:32.674351Z,,,,,,,,,,
HE.FIA0.00.00 | 2025-01-05T20:01:00.992819Z - 2025-01-05T20:02:00.992819Z,,,,,,,,,,
FN.KLF.00.00 | 2025-01-24T13:54:49.673235Z - 2025-01-24T13:55:49.673235Z,,,,,,,,,,
HE.LOVF.00.00 | 2025-01-14T15:11:35.667878Z - 2025-01-14T15:12:35.667878Z,,,,,,,,,,
HE.NUR.00.00 | 2025-02-24T23:05:28.759491Z - 2025-02-24T23:06:28.759491Z,,,,,,,,,,
HE.VJF.00.00 | 2025-02-12T21:57:31.530782Z - 2025-02-12T21:58:31.530782Z,,,,,,,,,,
FN.OLKF.00.00 | 2025-01-05T01:57:00.556738Z - 2025-01-05T01:58:00.556738Z,,,,,,,,,,
HE.MEF.00.00 | 2025-02-18T13:46:01.155201Z - 2025-02-18T13:47:01.155201Z,,,,,,,,,,
HE.KY02.00.00 | 2025-02-05T09:23:51.523485Z - 2025-02-05T09:24:51.523485Z,,,,,,,,,,
HE.KY17.00.00 | 2025-01-16T20:51:39.814150Z - 2025-01-16T20:52:39.814150Z,,,,,,,,,,
HE.OBF3.00.00 | 2025-01-20T11:44:12.806158Z - 2025-01-20T11:45:12.806158Z,,,,,,,,,,
HE.FIB6.00.00 | 2025-01-13T04:17:29.612683Z - 2025-01-13T04:18:29.612683Z,,,,,,,,,,
HE.TOF.00.00 | 2025-01-22T12:19:57.487016Z - 2025-01-22T12:20:57.487016Z,,,,,,,,,,
HE.FIB2.00.00 | 2025-01-17T03:59:29.776404Z - 2025-01-17T04:00:29.776404Z,,,,,,,,,,
HE.VJF.00.00 | 2025-01-03T00:36:45.409928Z - 2025-01-03T00:37:45.409928Z,,,,,,,,,,
FN.MSF.00.00 | 2025-01-25T22:03:22.380581Z - 2025-01-25T22:04:22.380581Z,,,,,,,,,,
HE.FIC4.00.00 | 2025-01-26T01:43:55.914768Z - 2025-01-26T01:44:55.914768Z,,,,,,,,,,
HE.OBF8.00.00 | 2025-01-04T20:50:21.591512Z - 2025-01-04T20:51:21.591512Z,,,,,,,,,,
HE.LAUT.00.00 | 2025-02-26T06:07:07.709244Z - 2025-02-26T06:08:07.709244Z,,,,,,,,,,
HE.KAF.00.00 | 2025-01-25T05:37:55.953696Z - 2025-01-25T05:38:55.953696Z,,,,,,,,,,
HE.FIC4.00.00 | 2025-02-01T19:37:00.247008Z - 2025-02-01T19:38:00.247008Z,,,,,,,,,,
HE.KORF.00.00 | 2025-01-15T18:18:21.591202Z - 2025-01-15T18:19:21.591202Z,,,,,,,,,,
HE.FIB1.00.00 | 2025-01-20T02:48:47.585335Z - 2025-01-20T02:49:47.585335Z,,,,,,,,,,
FN.SGF.00.00 | 2025-02-03T02:23:32.318634Z - 2025-02-03T02:24:32.318634Z,,,,,,,,,,
HE.NIF.00.00 | 2025-02-12T02:10:55.594740Z - 2025-02-12T02:11:55.594740Z,,,,,,,,,,
HE.TRE03.00.00 | 2025-02-26T03:56:03.659707Z - 2025-02-26T03:57:03.659707Z,,,,,,,,,,
HE.FIC3.00.00 | 2025-02-05T23:15:45.317089Z - 2025-02-05T23:16:45.317089Z,,,,,,,,,,
HE.KU2.00.00 | 2025-01-25T11:56:22.361784Z - 2025-01-25T11:57:22.361784Z,,,,,,,,,,
FN.OUL.00.00 | 2025-01-22T18:41:22.632733Z - 2025-01-22T18:42:22.632733Z,,,,,,,,,,
UP.AAL.00.00 | 2025-02-18T03:54:42.201473Z - 2025-02-18T03:55:42.201473Z,,,,,,,,,,
HE.FIC4.00.00 | 2025-01-19T11:41:47.613323Z - 2025-01-19T11:42:47.613323Z,,,,,,,,,,
HE.HEF.00.00 | 2025-02-02T16:14:20.386771Z - 2025-02-02T16:15:20.386771Z,,,,,,,,,,
FN.SGF.00.00 | 2025-02-26T17:15:03.572761Z - 2025-02-26T17:16:03.572761Z,,,,,,,,,,
HE.FIC4.00.00 | 2025-01-12T22:09:57.144016Z - 2025-01-12T22:10:57.144016Z,,,,,,,,,,
HE.RMF.00.00 | 2025-02-13T05:05:59.893424Z - 2025-02-13T05:06:59.893424Z,,,,,,,,,,
HE.OBF0.00.00 | 2025-02-13T12:19:44.394663Z - 2025-02-13T12:20:44.394663Z,,,,,,,,,,
HE.NUR.00.00 | 2025-01-05T00:54:31.164725Z - 2025-01-05T00:55:31.164725Z,,,,,,,,,,
HE.FIC1.00.00 | 2025-02-27T02:13:09.822632Z - 2025-02-27T02:14:09.822632Z,,,,,,,,,,
HE.FIC1.00.00 | 2025-01-23T16:13:06.098167Z - 2025-01-23T16:14:06.098167Z,,,,,,,,,,
HE.VAF.00.00 | 2025-02-12T00:04:13.882398Z - 2025-02-12T00:05:13.882398Z,,,,,,,,,,
HE.HEL5.00.00 | 2025-01-18T03:00:07.207699Z - 2025-01-18T03:01:07.207699Z,,,,,,,,,,
HE.HEL5.00.00 | 2025-01-16T16:41:16.775722Z - 2025-01-16T16:42:16.775722Z,,,,,,,,,,
FN.KMNF.00.00 | 2025-01-19T21:48:15.768131Z - 2025-01-19T21:49:15.768131Z,,,,,,,,,,
HE.FIB4.00.00 | 2025-01-10T08:44:46.620289Z - 2025-01-10T08:45:46.620289Z,,,,,,,,,,
HE.RSUO.00.00 | 2025-02-27T09:50:32.686055Z - 2025-02-27T09:51:32.686055Z,,,,,,,,,,
HE.OBF8.00.00 | 2025-01-02T20:53:11.837651Z - 2025-01-02T20:54:11.837651Z,,,,,,,,,,
HE.NIF.00.00 | 2025-02-22T18:38:46.623147Z - 2025-02-22T18:39:46.623147Z,,,,,,,,,,
HE.RSUO.00.00 | 2025-01-22T17:41:18.727403Z - 2025-01-22T17:42:18.727403Z,,,,,,,,,,
HE.TOF.00.00 | 2025-02-24T15:32:49.565680Z - 2025-02-24T15:33:49.565680Z,,,,,,,,,,
HE.RMF.00.00 | 2025-01-25T09:30:26.483556Z - 2025-01-25T09:31:26.483556Z,,,,,,,,,,
HE.KUNI.00.00 | 2025-01-28T02:15:30.129351Z - 2025-01-28T02:16:30.129351Z,,,,,,,,,,
FN.RANF.00.00 | 2025-02-23T13:53:06.143408Z - 2025-02-23T13:54:06.143408Z,,,,,,,,,,
HE.MEF.00.00 | 2025-02-08T06:55:46.257544Z - 2025-02-08T06:56:46.257544Z,,,,,,,,,,
FN.OUL.00.00 | 2025-01-16T03:56:44.562738Z - 2025-01-16T03:57:44.562738Z,,,,,,,,,,
HE.FIB3.00.00 | 2025-01-27T01:04:24.602829Z - 2025-01-27T01:05:24.602829Z,,,,,,,,,,
HE.VAF.00.00 | 2025-01-15T07:37:00.104993Z - 2025-01-15T07:38:00.104993Z,,,,,,,,,,
FN.KMNF.00.00 | 2025-01-11T02:38:56.001682Z - 2025-01-11T02:39:56.001682Z,,,,,,,,,,
FN.OLKF.00.00 | 2025-01-28T10:40:33.245935Z - 2025-01-28T10:41:33.245935Z,,,,,,,,,,
HE.JOF.00.00 | 2025-02-18T14:34:35.133787Z - 2025-02-18T14:35:35.133787Z,,,,,,,,,,
HE.FIB6.00.00 | 2025-02-28T16:14:49.738599Z - 2025-02-28T16:15:49.738599Z,,,,,,,,,,
HE.FIA2.00.00 | 2025-02-01T15:46:09.375989Z - 2025-02-01T15:47:09.375989Z,,,,,,,,,,
HE.KU6.00.00 | 2025-01-16T11:02:09.669755Z - 2025-01-16T11:03:09.669755Z,,,,,,,,,,
HE.FIC5.00.00 | 2025-01-04T00:30:27.941299Z - 2025-01-04T00:31:27.941299Z,,,,,,,,,,
HE.VJF.00.00 | 2025-01-19T10:00:30.668096Z - 2025-01-19T10:01:30.668096Z,,,,,,,,,,
HE.OBF0.00.00 | 2025-02-15T15:00:09.273999Z - 2025-02-15T15:01:09.273999Z,,,,,,,,,,
HE.FIA3.00.00 | 2025-01-13T04:04:09.077958Z - 2025-01-13T04:05:09.077958Z,,,,,,,,,,
HE.OUF.00.00 | 2025-01-29T01:05:25.880483Z - 2025-01-29T01:06:25.880483Z,,,,,,,,,,
HE.TOF.00.00 | 2025-01-03T02:24:15.680066Z - 2025-01-03T02:25:15.680066Z,,,,,,,,,,
HE.FIC6.00.00 | 2025-01-11T09:08:28.276589Z - 2025-01-11T09:09:28.276589Z,,,,,,,,,,
HE.ALAJF.00.00 | 2025-01-12T01:37:30.138692Z - 2025-01-12T01:38:30.138692Z,,,,,,,,,,
HE.FIC2.00.00 | 2025-01-16T00:58:04.998050Z - 2025-01-16T00:59:04.998050Z,,,,,,,,,,
HE.VAF.00.00 | 2025-02-07T12:39:30.259177Z - 2025-02-07T12:40:30.259177Z,,,,,,,,,,
HE.LOVF.00.00 | 2025-01-11T23:54:49.397556Z - 2025-01-11T23:55:49.397556Z,,,,,,,,,,
FN.RANF.00.00 | 2025-01-23T00:01:04.161257Z - 2025-01-23T00:02:04.161257Z,,,,,,,,,,
HE.FIC2.00.00 | 2025-02-17T09:55:39.617126Z - 2025-02-17T09:56:39.617126Z,,,,,,,,,,
HE.KY17.00.00 | 2025-02-17T00:40:48.887302Z - 2025-02-17T00:41:48.887302Z,,,,,,,,,,
HE.NIF.00.00 | 2025-01-10T20:18:40.860847Z - 2025-01-10T20:19:40.860847Z,,,,,,,,,,
UP.AAL.00.00 | 2025-01-16T01:33:15.995615Z - 2025-01-16T01:34:15.995615Z,,,,,,,,,,
HE.FIC6.00.00 | 2025-01-29T03:23:59.380455Z - 2025-01-29T03:24:59.380455Z,,,,,,,,,,
HE.FIC1.00.00 | 2025-02-25T22:51:11.641521Z - 2025-02-25T22:52:11.641521Z,,,,,,,,,,
HE.FIB3.00.00 | 2025-02-01T15:49:25.274803Z - 2025-02-01T15:50:25.274803Z,,,,,,,,,,
HE.ECKF.00.00 | 2025-01-21T00:29:58.579832Z - 2025-01-21T00:30:58.579832Z,,,,,,,,,,
HE.FIB3.00.00 | 2025-01-08T00:48:03.436181Z - 2025-01-08T00:49:03.436181Z,,,,,,,,,,
HE.HEL5.00.00 | 2025-01-14T14:39:04.491528Z - 2025-01-14T14:40:04.491528Z,,,,,,,,,,
HE.FIB3.00.00 | 2025-01-03T14:07:53.915415Z - 2025-01-03T14:08:53.915415Z,,,,,,,,,,
FN.KLF.00.00 | 2025-02-09T21:03:05.016015Z - 2025-02-09T21:04:05.016015Z,,,,,,,,,,
HE.OBF8.00.00 | 2025-01-15T17:57:12.118759Z - 2025-01-15T17:58:12.118759Z,,,,,,,,,,
HE.KY02.00.00 | 2025-02-16T23:55:29.831013Z - 2025-02-16T23:56:29.831013Z,,,,,,,,,,
HE.TRE03.00.00 | 2025-01-21T09:09:27.617174Z - 2025-01-21T09:10:27.617174Z,,,,,,,,,,
HE.FIC6.00.00 | 2025-01-03T22:27:51.990344Z - 2025-01-03T22:28:51.990344Z,,,,,,,,,,
HE.KEV.00.00 | 2025-02-26T19:58:31.481861Z - 2025-02-26T19:59:31.481861Z,,,,,,,,,,
HE.FIC6.00.00 | 2025-02-25T20:21:25.113892Z - 2025-02-25T20:22:25.113892Z,,,,,,,,,,
HE.FIB5.00.00 | 2025-02-21T18:13:20.912519Z - 2025-02-21T18:14:20.912519Z,,,,,,,,,,
FN.RAJF.00.00 | 2025-02-11T16:37:42.792026Z - 2025-02-11T16:38:42.792026Z,,,,,,,,,,
HE.RUF.00.00 | 2025-01-12T10:04:30.520335Z - 2025-01-12T10:05:30.520335Z,,,,,,,,,,
HE.KEF.00.00 | 2025-02-17T14:40:36.163254Z - 2025-02-17T14:41:36.163254Z,,,,,,,,,,
HE.LAUT.00.00 | 2025-02-12T06:05:22.262706Z - 2025-02-12T06:06:22.262706Z,,,,,,,,,,
HE.FIA3.00.00 | 2025-01-19T00:23:13.435000Z - 2025-01-19T00:24:13.435000Z,,,,,,,,,,
HE.HEL2.00.00 | 2025-01-07T21:50:45.255662Z - 2025-01-07T21:51:45.255662Z,,,,,,,,,,
HE.RAF.00.00 | 2025-02-23T23:35:25.694204Z - 2025-02-23T23:36:25.694204Z,,,,,,,,,,
HE.FIB5.00.00 | 2025-01-08T23:16:17.196833Z - 2025-01-08T23:17:17.196833Z,,,,,,,,,,
HE.HEF.00.00 | 2025-01-03T20:54:42.069316Z - 2025-01-03T20:55:42.069316Z,,,,,,,,,,
FN.KMNF.00.00 | 2025-02-23T10:43:27.620849Z - 2025-02-23T10:44:27.620849Z,,,,,,,,,,
HE.KEV.00.00 | 2025-01-29T05:19:40.857647Z - 2025-01-29T05:20:40.857647Z,,,,,,,,,,
HE.VUOS.00.00 | 2025-01-09T20:20:06.573106Z - 2025-01-09T20:21:06.573106Z,,,,,,,,,,
HE.LOVF.00.00 | 2025-02-02T12:57:00.637320Z - 2025-02-02T12:58:00.637320Z,,,,,,,,,,
FN.RAJF.00.00 | 2025-01-12T19:18:38.905696Z - 2025-01-12T19:19:38.905696Z,,,,,,,,,,
HE.HEF.00.00 | 2025-01-25T23:00:02.810878Z - 2025-01-25T23:01:02.810878Z,,,,,,,,,,
FN.KLF.00.00 | 2025-02-08T21:18:22.052486Z - 2025-02-08T21:19:22.052486Z,,,,,,,,,,
FN.RANF.00.00 | 2025-01-07T06:38:38.458916Z - 2025-01-07T06:39:38.458916Z,,,,,,,,,,
HE.LOVF.00.00 | 2025-02-05T03:28:29.035373Z - 2025-02-05T03:29:29.035373Z,,,,,,,,,,
HE.PVF.00.00 | 2025-02-13T03:43:45.434239Z - 2025-02-13T03:44:45.434239Z,,,,,,,,,,
HE.OBF0.00.00 | 2025-01-05T03:25:09.804929Z - 2025-01-05T03:26:09.804929Z,,,,,,,,,,
HE.RUF.00.00 | 2025-01-28T16:28:41.406886Z - 2025-01-28T16:29:41.406886Z,,,,,,,,,,
HE.RAF.00.00 | 2025-01-08T22:37:12.542469Z - 2025-01-08T22:38:12.542469Z,,,,,,,,,,
HE.FIB4.00.00 | 2025-02-09T16:43:06.875173Z - 2025-02-09T16:44:06.875173Z,,,,,,,,,,
HE.KPF.00.00 | 2025-01-11T13:32:43.676084Z - 2025-01-11T13:33:43.676084Z,,,,,,,,,,
HE.HEL5.00.00 | 2025-02-15T06:44:59.272478Z - 2025-02-15T06:45:59.272478Z,,,,,,,,,,
HE.FIB5.00.00 | 2025-02-15T04:39:25.613343Z - 2025-02-15T04:40:25.613343Z,,,,,,,,,,
HE.PVF.00.00 | 2025-02-17T21:58:39.700632Z - 2025-02-17T21:59:39.700632Z,,,,,,,,,,
HE.KPF.00.00 | 2025-02-21T09:23:25.378533Z - 2025-02-21T09:24:25.378533Z,,,,,,,,,,
HE.PVF.00.00 | 2025-01-18T21:32:04.801649Z - 2025-01-18T21:33:04.801649Z,,,,,,,,,,
FN.KMNF.00.00 | 2025-01-17T21:07:59.876184Z - 2025-01-17T21:08:59.876184Z,,,,,,,,,,
HE.KPF.00.00 | 2025-02-07T22:28:26.744429Z - 2025-02-07T22:29:26.744429Z,,,,,,,,,,
HE.KIF.00.00 | 2025-01-16T08:20:01.036544Z - 2025-01-16T08:21:01.036544Z,,,,,,,,,,
HE.KEV.00.00 | 2025-02-16T01:34:14.576812Z - 2025-02-16T01:35:14.576812Z,,,,,,,,,,
HE.RUF.00.00 | 2025-01-06T10:55:58.000203Z - 2025-01-06T10:56:58.000203Z,,,,,,,,,,
HE.ECKF.00.00 | 2025-02-15T10:48:35.746697Z - 2025-02-15T10:49:35.746697Z,,,,,,,,,,
HE.LOVF.00.00 | 2025-01-27T09:50:24.686765Z - 2025-01-27T09:51:24.686765Z,,,,,,,,,,
HE.VUOS.00.00 | 2025-02-26T23:37:40.625917Z - 2025-02-26T23:38:40.625917Z,,,,,,,,,,
FN.OLKF.00.00 | 2025-02-15T17:55:27.384202Z - 2025-02-15T17:56:27.384202Z,,,,,,,,,,
HE.TRE03.00.00 | 2025-01-21T17:35:26.149796Z - 2025-01-21T17:36:26.149796Z,,,,,,,,,,
HE.NUR.00.00 | 2025-01-07T12:38:00.969779Z - 2025-01-07T12:39:00.969779Z,,,,,,,,,,
HE.KU1.00.00 | 2025-01-29T13:55:33.957524Z - 2025-01-29T13:56:33.957524Z,,,,,,,,,,
HE.FIB2.00.00 | 2025-02-25T09:40:44.541286Z - 2025-02-25T09:41:44.541286Z,,,,,,,,,,
FN.OLKF.00.00 | 2025-02-28T16:52:47.818689Z - 2025-02-28T16:53:47.818689Z,,,,,,,,,,
HE.OBF8.00.00 | 2025-02-24T16:10:54.839490Z - 2025-02-24T16:11:54.839490Z,,,,,,,,,,
HE.FIC4.00.00 | 2025-02-28T02:39:53.885648Z - 2025-02-28T02:40:53.885648Z,,,,,,,,,,
HE.FIC4.00.00 | 2025-01-10T05:17:35.149911Z - 2025-01-10T05:18:35.149911Z,,,,,,,,,,
FN.OUL.00.00 | 2025-02-08T19:29:25.206613Z - 2025-02-08T19:30:25.206613Z,,,,,,,,,,
HE.PVF.00.00 | 2025-01-19T06:56:54.136606Z - 2025-01-19T06:57:54.136606Z,,,,,,,,,,
HE.FIC4.00.00 | 2025-02-13T22:23:31.332544Z - 2025-02-13T22:24:31.332544Z,,,,,,,,,,
HE.KEV.00.00 | 2025-01-31T02:30:13.460447Z - 2025-01-31T02:31:13.460447Z,,,,,,,,,,
HE.FIA0.00.00 | 2025-02-18T02:22:33.821520Z - 2025-02-18T02:23:33.821520Z,,,,,,,,,,
HE.KIF.00.00 | 2025-02-23T14:05:24.244851Z - 2025-02-23T14:06:24.244851Z,,,,,,,,,,
HE.FIA0.00.00 | 2025-01-05T02:35:02.012342Z - 2025-01-05T02:36:02.012342Z,,,,,,,,,,
