file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt
HEF/HE.HEF..HHN__20250101T092157Z__20250101T092257Z.mseed,HE,HEF,0,0,0,0,2025-01-01 09:22:05.150000,1.0,2025-01-01 09:22:05.150000,1.0,2025-01-01 09:21:57,2025-01-01 09:22:57
KLF/FN.KLF..HHN__20250101T092202Z__20250101T092302Z.mseed,FN,KLF,0,0,0,0,2025-01-01 09:22:08.850000,1.0,2025-01-01 09:22:09.450000,0.5959828684807063,2025-01-01 09:22:02,2025-01-01 09:23:02
KLF/FN.KLF..HHN__20250101T092202Z__20250101T092302Z.mseed,FN,KLF,0,0,0,0,2025-01-01 09:22:15.490000,1.0,2025-01-01 09:22:15.490000,1.0,2025-01-01 09:22:02,2025-01-01 09:23:02
KLF/FN.KLF..HHN__20250101T092202Z__20250101T092302Z.mseed,FN,KLF,0,0,0,0,2025-01-01 09:22:20.900000,1.0,2025-01-01 09:22:20.900000,1.0,2025-01-01 09:22:02,2025-01-01 09:23:02
KLF/FN.KLF..HHN__20250101T092202Z__20250101T092302Z.mseed,FN,KLF,0,0,0,0,2025-01-01 09:23:02.950000,1.0,2025-01-01 09:23:02.950000,1.0,2025-01-01 09:22:02,2025-01-01 09:23:02
KLF/FN.KLF..HHN__20250101T092202Z__20250101T092302Z.mseed,FN,KLF,0,0,0,0,2025-01-01 09:23:06.650000,0.7633267964972472,2025-01-01 09:23:06.650000,0.7633267964972472,2025-01-01 09:22:02,2025-01-01 09:23:02
SGF/FN.SGF..HHN__20250101T092212Z__20250101T092312Z.mseed,FN,SGF,0,0,0,0,2025-01-01 09:22:33.100000,1.0,2025-01-01 09:22:34.420000,1.0,2025-01-01 09:22:13,2025-01-01 09:23:13
SGF/FN.SGF..HHN__20250101T092212Z__20250101T092312Z.mseed,FN,SGF,0,0,0,0,2025-01-01 09:23:13.200000,0.81465481227202,2025-01-01 09:23:13.200000,0.81465481227202,2025-01-01 09:22:13,2025-01-01 09:23:13
SGF/FN.SGF..HHN__20250101T092212Z__20250101T092312Z.mseed,FN,SGF,0,0,0,0,2025-01-01 09:23:25.520000,1.0,2025-01-01 09:23:25.520000,1.0,2025-01-01 09:22:13,2025-01-01 09:23:13
RNF/FN.RNF..HHN__20250101T092218Z__20250101T092318Z.mseed,FN,RNF,0,0,0,0,2025-01-01 09:22:31.690000,1.0,2025-01-01 09:22:31.690000,1.0,2025-01-01 09:22:18,2025-01-01 09:23:18
RNF/FN.RNF..HHN__20250101T092218Z__20250101T092318Z.mseed,FN,RNF,0,0,0,0,2025-01-01 09:22:38.410000,1.0,2025-01-01 09:22:38.610000,0.9000982968838382,2025-01-01 09:22:18,2025-01-01 09:23:18
RNF/FN.RNF..HHN__20250101T092218Z__20250101T092318Z.mseed,FN,RNF,0,0,0,0,2025-01-01 09:23:00.670000,1.0,2025-01-01 09:23:00.610000,1.0,2025-01-01 09:22:18,2025-01-01 09:23:18
KLF/FN.KLF..HHN__20250102T044208Z__20250102T044308Z.mseed,FN,KLF,0,0,0,0,2025-01-02 04:42:10.350000,1.0,2025-01-02 04:42:10.350000,1.0,2025-01-02 04:42:08,2025-01-02 04:43:08
KLF/FN.KLF..HHN__20250102T044208Z__20250102T044308Z.mseed,FN,KLF,0,0,0,0,2025-01-02 04:42:14.150000,1.0,2025-01-02 04:42:16.250000,1.0,2025-01-02 04:42:08,2025-01-02 04:43:08
KLF/FN.KLF..HHN__20250102T044208Z__20250102T044308Z.mseed,FN,KLF,0,0,0,0,2025-01-02 04:42:20.800000,1.0,2025-01-02 04:42:20.950000,1.0,2025-01-02 04:42:08,2025-01-02 04:43:08
